sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
102,0.157009274,3.713950396,15.5430724,0.485721012,48.605,-118.779,5.564954444
103,0.157851279,3.737892389,39.69014634,1.240317073,48.628,-118.618,3.547212865
104,0.156471685,3.728032589,10.63008127,0.33219004,48.697,-118.135,6.051984829
105,0.152609915,3.621795416,25.73424185,0.804195058,48.764,-117.651,1.731832249
106,0.150217101,3.596261501,153.1367965,4.78552489,48.915,-116.517,38.55104865
107,0.150999978,3.591565847,32.17363506,1.005426096,48.936,-116.355,42.56134052
108,0.132269517,3.225989103,312.0131707,9.750411584,47.852,-122.862,25.87328758
109,0.134542689,3.290048361,164.9197494,5.153742169,47.879,-122.705,9.700195087
110,0.137344092,3.377280712,125.342216,3.91694425,47.906,-122.548,7.98334417
111,0.13699998,3.363164663,107.792071,3.368502219,47.933,-122.391,5.185214099
112,0.131885305,3.26086235,77.13187031,2.410370947,47.96,-122.234,1.589520835
113,0.127893373,3.156066179,460.2096316,14.38155099,47.987,-122.077,4.023678347
114,0.125677481,3.100734949,166.8617402,5.214429382,48.013,-121.919,9.144815052
115,0.169999242,3.957117081,156.4565783,4.889268073,48.319,-120.018,29.9324774
116,0.174769774,3.996893167,71.87155312,2.245986035,48.343,-119.859,3.449750982
117,0.170682803,3.965261459,150.9687492,4.717773413,48.367,-119.699,10.4127253
118,0.169620633,3.955246925,1219.204153,38.10012979,48.391,-119.54,31.28573622
119,0.169491187,3.955760479,119.5139496,3.734810925,48.415,-119.38,5.706023935
120,0.158515319,3.755975485,25.98336035,0.811980011,48.579,-118.258,0.266013657
121,0.156632692,3.756519079,250.8361963,7.838631134,48.601,-118.097,11.25595795
122,0.158245593,3.765270233,8.20800033,0.25650001,48.624,-117.936,6.685989774
123,0.15699999,3.720999718,7.0174086,0.219294019,48.646,-117.775,0.306424927
124,0.15092507,3.603747368,287.5000395,8.984376233,48.982,-115.181,99.34667231
125,0.150358394,3.598455191,119.5056044,3.734550137,49.002,-115.018,6.097000165
126,0.137999997,3.355999947,12.21148861,0.381609019,47.731,-122.973,3.813134819
127,0.134000003,3.275697708,7.056000275,0.220500009,47.758,-122.816,2.759932935
128,0.136204243,3.346898317,474.619152,14.8318485,47.785,-122.66,15.2083913
129,0.136763245,3.363589764,357.906252,11.18457037,47.812,-122.503,5.886489805
130,0.139029399,3.414735079,2.937600165,0.091800005,47.839,-122.346,0.885527384
131,0.130180076,3.216865301,396.7712859,12.39910269,47.866,-122.189,0.961420292
132,0.128629789,3.181573153,728.7039703,22.77199907,47.893,-122.032,4.126831787
133,0.125941947,3.110374212,607.1878336,18.9746198,47.919,-121.875,1.796498374
134,0.122800238,3.01913023,114.2956828,3.571740088,47.945,-121.718,7.007740507
135,0.170358941,3.974277735,65.94249946,2.060703108,48.248,-119.818,9.516724833
136,0.17090635,3.983278036,465.1249078,14.53515337,48.273,-119.659,21.71596705
137,0.175814271,4.046209812,479.3587594,14.97996123,48.297,-119.499,24.48730565
