sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
161,0.156096935,3.699768543,338.4956461,10.57798894,48.742,-117.813,28.08930388
162,0.153254822,3.63200593,208.0730848,6.502283899,48.764,-117.651,1.731832249
163,0.147,3.529999971,1.388736076,0.043398002,48.786,-117.49,2.272439121
164,0.146436587,3.452393532,8.179200934,0.255600029,48.873,-116.842,24.90310508
165,0.150167331,3.595541716,760.4536289,23.7641759,48.915,-116.517,110.9909426
166,0.14896661,3.566589832,786.6803531,24.58376104,48.936,-116.355,113.7233297
167,0.132616937,3.233955622,1109.589384,34.67466826,47.852,-122.862,32.18247711
168,0.134677619,3.297591209,1509.834305,47.18232202,47.879,-122.705,24.71250982
169,0.137393415,3.378357887,445.5495492,13.92342341,47.906,-122.548,13.43826168
170,0.137252614,3.368813038,566.1711422,17.69284819,47.933,-122.391,8.464874083
171,0.132374421,3.268292665,130.7799422,4.086873193,47.96,-122.234,1.589520835
172,0.127915502,3.156757593,1079.200716,33.72502236,47.987,-122.077,4.023678347
173,0.125535861,3.090133667,1476.502552,46.14070474,48.013,-121.919,35.64074252
174,0.123946816,3.018166065,53.85629092,1.683009091,48.039,-121.762,10.9675407
175,0.169092953,3.932126999,56.64671719,1.770209912,48.294,-120.177,6.488099348
176,0.169900104,3.955343485,506.6441156,15.83262861,48.319,-120.018,60.61802355
177,0.173845813,3.987211227,712.1891461,22.25591082,48.343,-119.859,63.64052928
178,0.1717823,3.973037481,523.7674523,16.36773289,48.367,-119.699,72.17613498
179,0.169725761,3.956486464,1911.978169,59.74931777,48.391,-119.54,88.58746581
180,0.172281355,3.985267162,910.6609781,28.45815557,48.415,-119.38,84.89811846
181,0.173544988,3.954661608,267.1004109,8.346887842,48.439,-119.22,13.03156144
182,0.16148968,3.797504902,9.76320033,0.30510001,48.51,-118.739,11.20405638
183,0.165000007,3.827000141,0.691200021,0.021600001,48.533,-118.579,10.37040043
184,0.158515304,3.757613182,100.767172,3.148974124,48.579,-118.258,17.38110536
185,0.156510755,3.753287077,499.0426453,15.59508267,48.601,-118.097,81.80338154
186,0.156532511,3.742286444,347.537366,10.86054269,48.624,-117.936,38.60343174
187,0.156983212,3.72244215,35.56310537,1.111347043,48.646,-117.775,0.306424927
188,0.147000015,3.530347109,123.3478046,3.854618893,48.69,-117.452,7.192683317
189,0.152627602,3.639447689,61.9488,1.9359,48.819,-116.482,14.02223863
190,0.151774973,3.621454,1078.568156,33.70525488,48.84,-116.319,106.6762544
191,0.157018691,3.676599979,15.84345762,0.495108051,48.962,-115.344,5.61019633
192,0.152131021,3.620328188,744.88005,23.27750156,48.982,-115.181,137.6884877
193,0.150027424,3.591177225,441.728659,13.80402059,49.002,-115.018,143.2297552
194,0.138797358,3.371150255,34.87680044,1.089900014,47.731,-122.973,3.793868956
195,0.138923451,3.374247074,291.3154559,9.103607996,47.758,-122.816,9.837534816
196,0.136126623,3.343781471,1242.162211,38.81756909,47.785,-122.66,22.32808965
197,0.136745587,3.363291502,959.7824789,29.99320247,47.812,-122.503,14.84849277
198,0.13903977,3.41499424,7.241184448,0.226287014,47.839,-122.346,0.885527384
199,0.130059928,3.213730812,525.3612539,16.41753918,47.866,-122.189,0.961420292
200,0.128498703,3.175424337,1305.079341,40.78372939,47.893,-122.032,4.126831787
201,0.125835419,3.104088783,1722.520181,53.82875566,47.919,-121.875,1.796498374
202,0.123037346,3.019905329,450.9547488,14.0923359,47.945,-121.718,14.36068682
203,0.169701278,3.932975292,179.5610848,5.611283899,48.199,-120.136,28.04744551
204,0.178497672,4.074027061,287.5173152,8.984916101,48.224,-119.977,23.78043695
205,0.173194826,4.003432274,1053.490177,32.92156802,48.248,-119.818,71.45695105
206,0.171693653,3.99456048,1130.34247,35.3232022,48.273,-119.659,76.96735671
207,0.175413743,4.039782524,1361.443697,42.54511553,48.297,-119.499,82.88194722
208,0.171286613,3.9571383,678.9274453,21.21648267,48.321,-119.34,84.27598878
209,0.170895457,3.930100441,645.6565688,20.17676777,48.344,-119.18,87.66583017
210,0.163199246,3.814227343,14.45759923,0.451799976,48.415,-118.7,17.50723297
211,0.164186612,3.821610451,86.47977656,2.702493018,48.438,-118.54,13.56000916
212,0.159460858,3.749637604,50.53046572,1.579077054,48.461,-118.38,25.27594741
213,0.157865614,3.758835316,337.6097086,10.55030339,48.483,-118.219,74.14510636
214,0.160787106,3.790593386,288.9106734,9.028458545,48.506,-118.059,49.26914661
215,0.155594096,3.727126122,842.3202656,26.3225083,48.529,-117.898,74.99935223
216,0.156852588,3.722773552,592.4177367,18.51305427,48.551,-117.737,37.90791125
217,0.155862689,3.67612505,376.2922078,11.75913149,48.573,-117.576,9.935534203
218,0.14897868,3.56035471,9.842110071,0.30756594,48.595,-117.415,14.41709082
219,0.1533425,3.667577028,664.1994305,20.7562322,48.724,-116.446,96.6735903
220,0.155231416,3.699784279,1114.80338,34.83760562,48.745,-116.284,99.80937597
221,0.153585821,3.649986744,217.1292645,6.785289514,48.765,-116.122,97.11890348
222,0.152999997,3.622999907,0.115200001,0.0036,48.866,-115.31,4.999628486
223,0.152010277,3.621876955,1215.846703,37.99520947,48.886,-115.147,132.4063222
224,0.147805303,3.534792185,1342.718775,41.95996172,48.906,-114.984,138.1689413
225,0.137633815,3.335000277,163.5327352,5.110397974,47.609,-123.083,18.1439793
226,0.14003846,3.430833101,467.6097727,14.6128054,47.637,-122.927,1.483213543
227,0.141372666,3.430155277,776.5277625,24.26649258,47.664,-122.771,20.81723988
228,0.138904601,3.375483274,698.0169938,21.81303105,47.691,-122.615,14.19547274
229,0.137707889,3.382865429,89.37100986,2.792844058,47.718,-122.458,4.858031322
230,0.142918095,3.465648413,10.44115214,0.326286004,47.745,-122.302,1.085341484
231,0.129526213,3.194431305,642.3260766,20.07268989,47.772,-122.145,3.747506125
232,0.128222317,3.173109293,1463.418647,45.73183271,47.798,-121.988,2.908411701
233,0.125162244,3.099458456,1133.753456,35.42979551,47.825,-121.831,27.26782544
234,0.121289745,3.005585909,770.4158695,24.07549592,47.851,-121.674,30.73913521
235,0.171894148,3.982441425,72.65721357,2.270537924,48.105,-120.095,10.03803848
236,0.175763458,4.049967289,529.1991352,16.53747297,48.129,-119.936,17.29321763
237,0.17411603,4.0389328,1227.334275,38.35419609,48.154,-119.777,70.08787874
